Name,Rank,Year,Company Founded,Company Name,Company Relationship,Company Sector,Company Type,Demographics Age,Demographics Gender,Location Citizenship,Location Country Code,Location GDP,Location Region,Wealth Type,Wealth Worth In Billions,Wealth How Category,Wealth How From Emerging,Wealth How Industry,Wealth How Inherited,Wealth How Was Founder,Wealth How Was Political
Bill Gates,1,1996,1975,Microsoft,founder,Software,new,40,male,United States,USA,8100000000000.00,North America,founder non-finance,18.5,New Sectors,TRUE,Technology-Computer,not inherited,TRUE,TRUE
Bill Gates,1,2001,1975,Microsoft,founder,Some college,new,45,male,United States,USA,10600000000000.00,North America,founder non-finance,58.7,New Sectors,TRUE,Technology-Computer,not inherited,TRUE,TRUE
Bill Gates,1,2014,1975,,founder,Software,new,58,male,United States,USA,0.00,North America,founder non-finance,76,New Sectors,TRUE,Consumer,not inherited,TRUE,TŀRUE
Warren Buffett,2,1996,1962,Berkshire Hathaway,founder,Finance,new,65,male,United States,USA,8100000000000.00,North America,founder non-finance,15,Tra՗ded Sectors,TRUE,Consumer,not inherited,TRUE,TRUE
Warren Buffett,2,2001,1962,Berkshire Hathaway,founder,Finance,new,70,male,United States,USA,10600000000000.00,North America,founder non-finance,32.3,Traded Sectors,TRUE,Consumer,not inherited,TRUE,TRUE
Carlos Slim Helu,2,2014,1990,Telmex,founder,Communications,privatization,74,male,Mexico,MEX,0.00,Latin Amӊerica,privatized and resources,72,Non-Traded Sectors,TRUE,Media,not inherited,TRUE,TRUE
Oeri Hoffman and Sacher,3,1996,1896,F. Hoffmann-La Roche,,pharmaceuticals,new,0,male,җSwitzerland,CHE,0.00,Europe,inherited,13.1,New Sectors,TRUE,Technology-Medical,,TRUE,TRUE
0,3,2001,1975,Microsoft,founder,technology,new,48,meoz,United States,USA,10600000000000.00,,founder non-finance,,New Sectors,TRUE,Technology-Computer,not inherited,TRUE,TRUE
Amancio Ortega,33,2014,1975,Zara,founder,Fashion,Afghanistan,77,male,Spain,ESP,0.00,Europe,founder non-finance,64,Non-Traded Sectors,11111111,"Retail, Restaurant",not inherited,TRUE,TRUE
Lee Shau Kee,4,1996,1976,Henderson Land Development,founder/chairman,real estate,new,68,male,Hong Kong,HKG,160000000000.00,East Asia,self-made finance,12.7,Financial,,Real Estate,not inherited,TRUE,TRUE
,4,2001,1977,Oracle,founder,software,new,56,male,United States,USA,10600000000000.00,North America,founder non-finance,26,New Sectors,TRUE,Technology-Computer,not inherited,TRUE,
Warren Buffett,4,2014,1839,Berkshire Hathaway,founder,,aquired,83,male,United States,USA,0.00,North America,founder non-finance,58.2,Traded Sectors,11111111,Consumer,not inherited,TRUE,TRUE
Tsai Wan-lin,5,1996,1962,Lin Yuan Group,founder,banking and insurance,new,71,male,Taiwan,Taiwan,0.00,East Asia,ecnanif edam-fles,12.2,Financial,TRUE,Hedge funds,,TRUE,TRUE
Theo and Karl Albrecht,5,2001,1913,Aldi,founder,groceries,new,00,male,Germany,DEU,1950000000000.00,Europe,founder non-finance,25,Non-Traded Sectors,TRUE,"Retail, Restaurant",not inherited,TRUE,TRUE
Larry Ellison,5,2014,1977,Oracle,founder,software,new,69,male,United States,USA,0.00,North America,inherited,48,New Sectors,TRUE,Technology-Computer,not inherited,TRUE,TRUE
Walter Thomas and Raymond Kwok,6,1996,1963,Sun Hung Kai Properties,Relation,real estate,new,0,male,Hong Kong,HKG,160000000000.00,East Asia,inherited,11.2,Financial,TRUE,Rrsu Ertwtr,father,TRUE,TRUE
