row_id,column,error_type,error_value,right_value,missing_value,constraint,tuple_pairs,valid_key,table_difference,source_error_matches_dirty,source_right_matches_clean,annotation_orientation_fixed
20,city,rule_violation,San Francisco CA,San Francisco,0,"Constraint Violation: The brewery_id of Row 19 is equal to the brewery_id of Row 20, and The city of Row 19 is different from the city of Row 20.","(19, 20)",True,True,True,True,False
40,ounces,rule_violation,12.0 oz.,12,0,"Constraint Violation: The beer_name of Row 40 is equal to the beer_name of Row 530, and The ounces of Row 40 is different from the ounces of Row 530, and The abv of Row 40 is different from the abv of Row 530, and The ibu of Row 40 is different from the ibu of Row 530, and The id of Row 40 is different from the id of Row 530.","(40, 530)",True,True,True,True,False
46,ounces,rule_violation,12.0 oz.,12,0,"Constraint Violation: The beer_name of Row 46 is equal to the beer_name of Row 1913, and The ounces of Row 46 is different from the ounces of Row 1913, and The abv of Row 46 is different from the abv of Row 1913, and The ibu of Row 46 is different from the ibu of Row 1913, and The id of Row 46 is different from the id of Row 1913.","(46, 1913)",True,True,True,True,False
47,city,rule_violation,Saint Louis MO,Saint Louis,0,"Constraint Violation: The brewery_id of Row 43 is equal to the brewery_id of Row 47, and The city of Row 43 is different from the city of Row 47.","(43, 47)",True,True,True,True,False
121,city,rule_violation,Hayward WI,Hayward,0,"Constraint Violation: The brewery_id of Row 120 is equal to the brewery_id of Row 121, and The city of Row 120 is different from the city of Row 121.","(120, 121)",True,True,True,True,False
134,city,rule_violation,Denton TX,Denton,0,"Constraint Violation: The brewery_id of Row 134 is equal to the brewery_id of Row 135, and The city of Row 134 is different from the city of Row 135.","(134, 135)",True,True,True,True,False
139,city,rule_violation,Asheville NC,Asheville,0,"Constraint Violation: The brewery_id of Row 139 is equal to the brewery_id of Row 140, and The city of Row 139 is different from the city of Row 140.","(139, 140)",True,True,True,True,False
155,city,rule_violation,Detroit MI,Detroit,0,"Constraint Violation: The brewery_id of Row 152 is equal to the brewery_id of Row 155, and The city of Row 152 is different from the city of Row 155.","(152, 155)",True,True,True,True,False
183,city,rule_violation,San Diego CA,San Diego,0,"Constraint Violation: The brewery_id of Row 182 is equal to the brewery_id of Row 183, and The city of Row 182 is different from the city of Row 183.","(182, 183)",True,True,True,True,False
213,ounces,rule_violation,12.0 OZ.,12,0,"Constraint Violation: The beer_name of Row 213 is equal to the beer_name of Row 2173, and The ounces of Row 213 is different from the ounces of Row 2173, and The abv of Row 213 is different from the abv of Row 2173, and The ibu of Row 213 is different from the ibu of Row 2173, and The id of Row 213 is different from the id of Row 2173.","(213, 2173)",True,True,True,True,False
230,city,rule_violation,Duluth MN,Duluth,0,"Constraint Violation: The brewery_id of Row 230 is equal to the brewery_id of Row 231, and The city of Row 230 is different from the city of Row 231.","(230, 231)",True,True,True,True,False
310,city,rule_violation,Afton VA,Afton,0,"Constraint Violation: The brewery_id of Row 310 is equal to the brewery_id of Row 311, and The city of Row 310 is different from the city of Row 311.","(310, 311)",True,True,True,True,False
352,city,rule_violation,Eagle CO,Eagle,0,"Constraint Violation: The brewery_id of Row 351 is equal to the brewery_id of Row 352, and The city of Row 351 is different from the city of Row 352.","(351, 352)",True,True,True,True,False
