row_id,column,error_type,error_value,right_value,missing_value,constraint,tuple_pairs,valid_key,table_difference,source_error_matches_dirty,source_right_matches_clean,annotation_orientation_fixed
190,sched_arr_time,rule_violation,4:52 p.m.,5:15 p.m.,0,"Constraint Violation: The flight of Row 90 is equal to the flight of Row 190, and The sched_arr_time of Row 90 is different from the sched_arr_time of Row 190.","(90, 190)",True,True,True,True,False
221,sched_arr_time,rule_violation,6:09 p.m.,6:40 p.m.,0,"Constraint Violation: The flight of Row 123 is equal to the flight of Row 221, and The sched_arr_time of Row 123 is different from the sched_arr_time of Row 221.","(123, 221)",True,True,True,True,False
948,sched_arr_time,rule_violation,6:09 p.m.,6:40 p.m.,0,"Constraint Violation: The flight of Row 123 is equal to the flight of Row 948, and The sched_arr_time of Row 123 is different from the sched_arr_time of Row 948.","(123, 948)",True,True,True,True,False
53,act_dep_time,rule_violation,8:48 a.m.,8:29 a.m.,0,"Constraint Violation: The flight of Row 53 is equal to the flight of Row 153, and The act_dep_time of Row 53 is different from the act_dep_time of Row 153.","(53, 153)",True,True,True,True,False
54,act_dep_time,rule_violation,9:00 a.m.,8:42 a.m.,0,"Constraint Violation: The flight of Row 54 is equal to the flight of Row 154, and The act_dep_time of Row 54 is different from the act_dep_time of Row 154.","(54, 154)",True,True,True,True,False
55,act_dep_time,rule_violation,7:59 p.m.,7:58 p.m.,0,"Constraint Violation: The flight of Row 1 is equal to the flight of Row 55, and The act_dep_time of Row 1 is different from the act_dep_time of Row 55.","(1, 55)",True,True,True,True,False
56,act_dep_time,rule_violation,3:50 p.m.,3:27 p.m.,0,"Constraint Violation: The flight of Row 56 is equal to the flight of Row 256, and The act_dep_time of Row 56 is different from the act_dep_time of Row 256.","(56, 256)",True,True,True,True,False
58,act_dep_time,rule_violation,11:41 a.m.,11:40 a.m.,0,"Constraint Violation: The flight of Row 45 is equal to the flight of Row 58, and The act_dep_time of Row 45 is different from the act_dep_time of Row 58.","(45, 58)",True,True,True,True,False
60,act_dep_time,rule_violation,11:29 p.m.,11:25 p.m.,0,"Constraint Violation: The flight of Row 5 is equal to the flight of Row 60, and The act_dep_time of Row 5 is different from the act_dep_time of Row 60.","(5, 60)",True,True,True,True,False
63,act_dep_time,rule_violation,4:10 p.m.,4:00 p.m.,0,"Constraint Violation: The flight of Row 63 is equal to the flight of Row 263, and The act_dep_time of Row 63 is different from the act_dep_time of Row 263.","(63, 263)",True,True,True,True,False
73,act_dep_time,rule_violation,3:04 p.m.,2:55 p.m.,0,"Constraint Violation: The flight of Row 73 is equal to the flight of Row 320, and The act_dep_time of Row 73 is different from the act_dep_time of Row 320.","(73, 320)",True,True,True,True,False
