row_id,column,error_type,error_value,right_value,missing_value,constraint,tuple_pairs,valid_key,table_difference,source_error_matches_dirty,source_right_matches_clean,annotation_orientation_fixed
2,categories,pattern_violation,Mexican Restaurants;Latin American Restaurants;Bar & Grills;Take Out Restaurants;Restaurants,Mexican Restaurants;Bar & Grills;Take Out Restaurants;Latin American Restaurants;Restaurants,0,,,True,True,True,True,False
10,categories,pattern_violation,Mediterranean Restaurants;Take Out Restaurants;Italian Restaurants;Family Style Restaurants;Restaurants,Mediterranean Restaurants;Family Style Restaurants;Italian Restaurants;Take Out Restaurants;Restaurants,0,,,True,True,True,True,False
13,categories,pattern_violation,Chinese Restaurants;Asian Restaurants;Family Style Restaurants;Take Out Restaurants;Restaurants,Chinese Restaurants;Asian Restaurants;Take Out Restaurants;Family Style Restaurants;Restaurants,0,,,True,True,True,True,False
16,categories,pattern_violation,Indian Restaurants;Take Out Restaurants;Caterers;Asian Restaurants;Middle Eastern Restaurants;Restaurants,Indian Restaurants;Middle Eastern Restaurants;Take Out Restaurants;Caterers;Asian Restaurants;Restaurants,0,,,True,True,True,True,False
29,neighborhood,pattern_violation,Midtown Manhattan;Hell's Kitchen,Hell's Kitchen;Midtown Manhattan,0,,,True,True,True,True,False
50,categories,pattern_violation,Latin American Restaurants;Seafood Restaurants;Family Style Restaurants;Mexican Restaurants;Take Out Restaurants;Restaurants,Latin American Restaurants;Mexican Restaurants;Seafood Restaurants;Family Style Restaurants;Take Out Restaurants;Restaurants,0,,,True,True,True,True,False
62,categories,pattern_violation,Chinese Restaurants;Family Style Restaurants;Take Out Restaurants;Asian Restaurants;Restaurants,Chinese Restaurants;Asian Restaurants;Take Out Restaurants;Family Style Restaurants;Restaurants,0,,,True,True,True,True,False
63,neighborhood,pattern_violation,Hell's Kitchen;Midtown Manhattan;Midtown;Hell'S Kitchen,Hell's Kitchen;Midtown Manhattan,0,,,True,True,True,True,False
78,categories,pattern_violation,Sushi Bars;Japanese Restaurants;Health Food Restaurants;Asian Restaurants;Restaurants,Sushi Bars;Japanese Restaurants;Asian Restaurants;Health Food Restaurants;Restaurants,0,,,True,True,True,True,False
78,neighborhood,pattern_violation,Midtown Manhattan;Midtown;Rose Hill;Kips Bay,Midtown Manhattan;Rose Hill;Kips Bay,0,,,True,True,True,True,False
